,subjectGS2,verbGS2,objectGS2,sentenceGS2,maximumCosineSimilarity
322,pattern recognition,usesMaterial,gait,pattern recognition usesMaterial gait,0.8587409438312331
323,acquisition device,usesMaterial,operation data,acquisition device usesMaterial operation data,0.8710756268524267
324,acquisition device,usesTask,logistics management,acquisition device usesTask logistics management,0.8493182270678333
325,artificial intelligence,usesMaterial,engineer,artificial intelligence usesMaterial engineer,0.7334589941637242
326,sentiment analysis,usesMaterial,anannotated data set,sentiment analysis usesMaterial anannotated data set,0.8054660451298381
327,forecasts model,usesTask,sentiment analysis,forecasts model usesTask sentiment analysis,0.8608482116702256
328,artificial intelligence,usesMaterial,data source data,artificial intelligence usesMaterial data source data,0.7483746079442644
329,machine learning,usesTask,gender classification,machine learning usesTask gender classification,0.8625788162936655
330,tracking system,usesMaterial,point cloud,tracking system usesMaterial point cloud,0.7734523024346847
331,acquisition device,usesTask,data transmission,acquisition device usesTask data transmission,0.8701417134217089
332,game theory,usesTask,access control,game theory usesTask access control,0.792742895862796
333,game theory,usesMaterial,mobile device,game theory usesMaterial mobile device,0.8316075286914643
334,wearable technology,usesMaterial,authentication data,wearable technology usesMaterial authentication data,0.8431000947681959
335,embedded system,usesTask,data compression,embedded system usesTask data compression,1.0
336,wearable technology,usesTask,emotion recognition,wearable technology usesTask emotion recognition,0.8656350098162352
337,evolutionary algorithm,usesTask,data mining and related task,evolutionary algorithm usesTask data mining and related task,0.9761379783201892
338,image analysis,usesMaterial,facial image image,image analysis usesMaterial facial image image,0.8539253821170125
339,acquisition device,usesMaterial,monitoring data,acquisition device usesMaterial monitoring data,0.8342393802337705
340,autonomous vehicle,usesMaterial,noises signal,autonomous vehicle usesMaterial noises signal,0.6550678656995528
341,deep learning,usesMaterial,art,deep learning usesMaterial art,0.8152630404900996
342,machine learning method,usesMethod,decision support system,machine learning method usesMethod decision support system,0.9776769678867436
343,data compression,usesMaterial,encrypted data,data compression usesMaterial encrypted data,0.8225920237606575
344,autonomous vehicle,usesMaterial,radio,autonomous vehicle usesMaterial radio,0.8530823177023189
345,graphics processing unit,usesTask,motion estimation,graphics processing unit usesTask motion estimation,0.8443183439957316
346,face detection,usesMaterial,rendering image,face detection usesMaterial rendering image,0.8939247614246816
347,gesture 1,usesTask,face detection,gesture 1 usesTask face detection,0.8267342065069256
348,user experience,usesMethod,neural network,user experience usesMethod neural network,0.84865488859292
349,image display,usesMethod,graphics processing unit,image display usesMethod graphics processing unit,0.9041511075451321
350,tracking system,usesTask,autonomous driving,tracking system usesTask autonomous driving,0.8509226483655288
351,sentiment analysis,usesMethod,semantic distance,sentiment analysis usesMethod semantic distance,0.8077437752754106
352,decision support system,usesTask,outlier detection,decision support system usesTask outlier detection,0.8904287458118346
353,heuristic algorithm,usesMethod,deep learning,heuristic algorithm usesMethod deep learning,0.8507109794289345
354,control parameter value,usesMethod,wearable technology,control parameter value usesMethod wearable technology,0.8171527946410763
355,tracking system,usesTask,computer vision,tracking system usesTask computer vision,1.0000000000000002
356,autonomous vehicle,usesTask,traffic congestion,autonomous vehicle usesTask traffic congestion,0.8185043481363641
357,data compression,usesTask,face detection,data compression usesTask face detection,0.8332292037627489
358,sensor,usesTask,intelligent control,sensor usesTask intelligent control,0.9315629668275104
359,neural network,usesTask,ranging,neural network usesTask ranging,0.8979728739216273
360,neural network,usesMethod,decoder based technique,neural network usesMethod decoder based technique,0.9703908977076836
361,wearable technology,usesMaterial,medical image,wearable technology usesMaterial medical image,0.8413014020740102
362,artificial intelligence,usesMethod,packet scheduling,artificial intelligence usesMethod packet scheduling,0.794782399756129
363,sensor,usesMaterial,video signal,sensor usesMaterial video signal,0.9323351482114118
364,machine learning,usesMaterial,hand gesture,machine learning usesMaterial hand gesture,1.0
365,graphics processing unit,usesMethod,acquisition device,graphics processing unit usesMethod acquisition device,0.8021965757533349
366,classification task,usesTask,action recognition,classification task usesTask action recognition,0.8729192233239869
367,sensor,usesMaterial,motion data,sensor usesMaterial motion data,1.0000000000000002
368,acquisition device,usesTask,internet of thing,acquisition device usesTask internet of thing,0.9273328969193273
369,electronic device equipment,usesMethod,artificial intelligence,electronic device equipment usesMethod artificial intelligence,0.7908736058232404
370,image analysis,usesMaterial,ultrasound image,image analysis usesMaterial ultrasound image,0.8676012101771473
371,autonomous vehicle,usesMethod,robotic arm,autonomous vehicle usesMethod robotic arm,0.8015443287329267
372,artificial intelligence,usesTask,parallel computation,artificial intelligence usesTask parallel computation,0.8820268328764823
373,tracking system,usesMethod,broadcast,tracking system usesMethod broadcast,0.7746215992904821
374,data compression,usesMaterial,noises signal,data compression usesMaterial noises signal,0.8620612661170607
375,mobile node,usesMethod,multiagent system,mobile node usesMethod multiagent system,0.7999255295368399
376,autonomous vehicle,usesMaterial,sensitive information data,autonomous vehicle usesMaterial sensitive information data,0.829338643043996
377,action recognition,usesMethod,principle component analysis,action recognition usesMethod principle component analysis,0.8138272114731956
378,wearable technology,usesMaterial,accelerometer data,wearable technology usesMaterial accelerometer data,0.8783085923411822
379,multiagent system,usesTask,clinical decision support system,multiagent system usesTask clinical decision support system,0.8440913804447089
380,autonomous vehicle,usesTask,motor,autonomous vehicle usesTask motor,0.8588011084580759
381,evolutionary algorithm,usesMaterial,mobile device,evolutionary algorithm usesMaterial mobile device,0.7890579152646159
382,object tracking,usesTask,action recognition,object tracking usesTask action recognition,0.901500010857256
383,artificial intelligence,usesTask,control precision of operation,artificial intelligence usesTask control precision of operation,0.8080165356919415
384,autonomous vehicle,usesMethod,power control,autonomous vehicle usesMethod power control,0.7958756600130978
385,game theory,usesMaterial,emotion,game theory usesMaterial emotion,0.866153378536236
386,wsn,usesMethod,evolutionary algorithm,wsn usesMethod evolutionary algorithm,0.8810130967629162
387,human computer interaction,usesTask,pattern recognition,human computer interaction usesTask pattern recognition,0.878035742115827
388,image analysis,usesTask,enhancement,image analysis usesTask enhancement,0.9768084087521403
389,graphics processing unit,usesMaterial,high resolution image,graphics processing unit usesMaterial high resolution image,0.8357108198678264
390,decision support system,usesMaterial,user behavior,decision support system usesMaterial user behavior,0.7990489206218856
391,face detection,usesMethod,hybrid equivalent model,face detection usesMethod hybrid equivalent model,0.9010213721238823
392,face detection,usesMethod,one,face detection usesMethod one,0.9178598924698597
393,sensor,usesMaterial,dialogue,sensor usesMaterial dialogue,0.709784701400217
394,support supporting body,usesMethod,neural network,support supporting body usesMethod neural network,0.6837983607536909
395,acquisition device,usesTask,recording medium recording,acquisition device usesTask recording medium recording,0.8483907906828204
396,classification method approach,usesMethod,decision support system,classification method approach usesMethod decision support system,0.8908372099934023
397,face detection,usesMaterial,encoding example,face detection usesMaterial encoding example,0.8337840573039906
398,wearable technology,usesMaterial,hand gesture,wearable technology usesMaterial hand gesture,0.8657231239864542
399,multiagent system,usesMaterial,knowledge,multiagent system usesMaterial knowledge,0.774612124657548
400,acquisition device,usesMaterial,cellular phone,acquisition device usesMaterial cellular phone,0.8721705773642122
401,pattern recognition,usesMaterial,color image,pattern recognition usesMaterial color image,0.8211257181126574
402,sensor,usesTask,autonomous vehicle,sensor usesTask autonomous vehicle,1.0
403,sensor,usesMaterial,image sequence,sensor usesMaterial image sequence,0.8311261322476564
404,wearable technology,usesMaterial,digital image,wearable technology usesMaterial digital image,0.781353164131137
405,tracking system,usesMaterial,hand gesture,tracking system usesMaterial hand gesture,0.8121181219193075
406,action recognition,usesTask,edge detection,action recognition usesTask edge detection,0.8987513419486767
407,game theory,usesTask,situation awareness,game theory usesTask situation awareness,0.8052670607691071
408,decision support system,usesMaterial,personal computer,decision support system usesMaterial personal computer,0.7985636841261051
409,bp neural network,usesTask,sentiment analysis,bp neural network usesTask sentiment analysis,0.9075827697025176
410,data compression,usesMaterial,flash,data compression usesMaterial flash,0.7699507512079689
411,game theory,usesMaterial,renewable energy,game theory usesMaterial renewable energy,0.6842952686468455
412,optimal control,usesMethod,evolutionary algorithm,optimal control usesMethod evolutionary algorithm,0.9236818735735699
413,speech recognition,usesTask,image analysis,speech recognition usesTask image analysis,0.824375755058689
414,neural network,usesMaterial,digital information data,neural network usesMaterial digital information data,0.8671613775203304
415,spectral efficiency,usesMethod,machine learning,spectral efficiency usesMethod machine learning,0.7670331697682223
416,maximum likelihood estimation,usesMethod,machine learning,maximum likelihood estimation usesMethod machine learning,0.9749891887707071
417,game theory,usesTask,demand response,game theory usesTask demand response,0.7597911855889529
418,face detection,usesMethod,singular value decomposition,face detection usesMethod singular value decomposition,0.9152075532039342
419,multiagent system,usesTask,autonomous underwater vehicle ( auv ),multiagent system usesTask autonomous underwater vehicle ( auv ),0.8675932511972129
420,fuzzy logic,usesMethod,decision support system,fuzzy logic usesMethod decision support system,0.979917499226662
421,autonomous vehicle,usesMethod,sensing device,autonomous vehicle usesMethod sensing device,0.9078445357457795
422,acquisition device,usesMaterial,bluetooth,acquisition device usesMaterial bluetooth,0.8803375542376282
423,data compression,usesTask,iris recognition,data compression usesTask iris recognition,0.8083273275186514
424,face detection,usesTask,image fusion,face detection usesTask image fusion,0.8542775324964732
425,neural network,usesTask,learning system 1,neural network usesTask learning system 1,0.8646234691302375
426,game theory,usesMaterial,radio,game theory usesMaterial radio,0.9611603517112339
427,machine learning,usesMaterial,natural language text,machine learning usesMaterial natural language text,0.8607414132200092
428,graphics processing unit,usesMaterial,keyboard,graphics processing unit usesMaterial keyboard,0.7864961702175847
429,data compression,usesMaterial,image sequence,data compression usesMaterial image sequence,0.8672006537671461
430,graphics processing unit,usesTask,image analysis,graphics processing unit usesTask image analysis,0.8893553755433318
431,face detection,usesMaterial,mobile device,face detection usesMaterial mobile device,1.0000000000000002
432,neural network,usesTask,magnetic resonance imaging,neural network usesTask magnetic resonance imaging,0.83434762180161
433,deep learning,usesTask,nlp task,deep learning usesTask nlp task,0.9208986347194211
434,tracking system,usesMethod,clustering algorithm,tracking system usesMethod clustering algorithm,0.9344954717735969
435,data compression,usesMethod,central processor,data compression usesMethod central processor,0.8514356308458605
436,pattern recognition,usesMaterial,internet,pattern recognition usesMaterial internet,0.7552799797531723
437,decision support system,usesTask,anomaly detection,decision support system usesTask anomaly detection,0.9015846979330697
438,recommendation methodology,usesTask,sentiment analysis,recommendation methodology usesTask sentiment analysis,0.9400328416174298
439,image analysis,usesMethod,computer program,image analysis usesMethod computer program,0.9161377636622512
440,graphics processing unit,usesTask,verification,graphics processing unit usesTask verification,1.0000000000000002
441,graphics processing unit,usesMaterial,medical image,graphics processing unit usesMaterial medical image,0.8635923544178075
442,sensor,usesTask,pattern recognition,sensor usesTask pattern recognition,0.9158316020670139
443,data compression,usesMethod,gaussian mixture model,data compression usesMethod gaussian mixture model,0.7566359327982385
444,decision support system,usesTask,biomedical science research,decision support system usesTask biomedical science research,0.7854246910437135
445,machine learning,usesMaterial,missing data,machine learning usesMaterial missing data,0.790385269443379
446,mobile platform,usesTask,image analysis,mobile platform usesTask image analysis,0.8689412542794176
447,multiagent system,usesMethod,dynamic programming,multiagent system usesMethod dynamic programming,0.8669781089189058
448,image analysis,usesMethod,rough set theory,image analysis usesMethod rough set theory,0.9106141601015652
449,face detection,usesTask,terminal,face detection usesTask terminal,0.8763960991245924
450,machine learning,usesMethod,efficient algorithm,machine learning usesMethod efficient algorithm,0.8306111276521071
451,decision support system,usesTask,data warehousing,decision support system usesTask data warehousing,0.9999999999999999
452,gps,usesMethod,game theory,gps usesMethod game theory,0.6907630942257618
453,predictions accuracy,usesMethod,game theory,predictions accuracy usesMethod game theory,0.7136472935848764
454,machine learning,usesMaterial,eeg communication signal,machine learning usesMaterial eeg communication signal,0.9589220178406951
455,pattern recognition,usesMethod,semantic distance,pattern recognition usesMethod semantic distance,0.8366200195936718
456,sentiment analysis,usesMethod,search engine,sentiment analysis usesMethod search engine,0.8365293154463328
457,sentiment analysis,usesMethod,control method,sentiment analysis usesMethod control method,0.8271443989620855
458,multiagent system,usesTask,search task,multiagent system usesTask search task,0.8447792257488214
459,evolutionary algorithm,usesMethod,genetic selection,evolutionary algorithm usesMethod genetic selection,0.909112113831684
460,wearable technology,usesMaterial,acceleration data,wearable technology usesMaterial acceleration data,0.9623143904805077
461,decision support system,usesTask,database and information system,decision support system usesTask database and information system,1.0000000000000002
462,artificial intelligence,usesMethod,nonlinear system,artificial intelligence usesMethod nonlinear system,0.7964834803097995
463,web server,usesMethod,deep learning,web server usesMethod deep learning,0.8166820096791182
464,door frame a,usesMethod,sensor,door frame a usesMethod sensor,0.8640889577690575
465,neural network,usesMaterial,abstraction example,neural network usesMaterial abstraction example,0.8780676150579163
466,pattern recognition,usesMaterial,face photo image,pattern recognition usesMaterial face photo image,0.9016958051011018
467,acquisition device,usesMaterial,first photograph image,acquisition device usesMaterial first photograph image,0.9281458060014298
468,deep learning,usesMaterial,distorted image,deep learning usesMaterial distorted image,0.7108669680108266
469,sensor,usesTask,ranging,sensor usesTask ranging,0.9999999999999999
470,sentiment analysis,usesTask,solution,sentiment analysis usesTask solution,0.9999999999999999
471,v2v,usesTask,autonomous vehicle,v2v usesTask autonomous vehicle,0.7701380196930332
472,sentiment analysis,usesMethod,control system,sentiment analysis usesMethod control system,0.7797682525169305
473,artificial intelligence,usesTask,knowledge management,artificial intelligence usesTask knowledge management,0.8346790015654337
474,decision support system,usesTask,computational intelligence,decision support system usesTask computational intelligence,0.9999999999999999
475,deep learning,usesTask,training phase,deep learning usesTask training phase,0.8454926471414326
476,pattern recognition,usesMethod,language model,pattern recognition usesMethod language model,0.897218613773426
477,face detection,usesMethod,optical flow,face detection usesMethod optical flow,0.8304850579700545
478,sensor,usesMaterial,high resolution image,sensor usesMaterial high resolution image,0.9593627225089523
479,wearable technology,usesMaterial,motion data,wearable technology usesMaterial motion data,1.0
480,multiagent system,usesTask,estimation measurement problem,multiagent system usesTask estimation measurement problem,0.8356155470983345
481,graphics processing unit,usesTask,character recognition,graphics processing unit usesTask character recognition,0.8509797625349764
482,sentiment analysis,usesMaterial,medical data,sentiment analysis usesMaterial medical data,0.8075665656637973
483,autonomous vehicle,usesTask,ranging,autonomous vehicle usesTask ranging,0.8371730016452232
484,game theory,usesTask,interference,game theory usesTask interference,0.7891905101119868
485,action recognition,usesMethod,semantic information,action recognition usesMethod semantic information,0.9228029443652935
486,sentiment analysis,usesMethod,hybrid algorithm,sentiment analysis usesMethod hybrid algorithm,0.9388222423919038
487,autonomous vehicle,usesMethod,sensor node,autonomous vehicle usesMethod sensor node,0.8745831835806875
488,pattern recognition,usesMaterial,electrocardiogram,pattern recognition usesMaterial electrocardiogram,0.862442682081473
489,machine learning,usesMaterial,dynamic environment,machine learning usesMaterial dynamic environment,0.7557987329844411
490,game theory,usesTask,embedded system,game theory usesTask embedded system,0.8153323068736291
491,wearable technology,usesTask,smart home,wearable technology usesTask smart home,0.7775116971340811
492,data compression,usesMethod,communications device,data compression usesMethod communications device,0.8207161876326874
493,action recognition,usesTask,computer vision and other field,action recognition usesTask computer vision and other field,0.8638723959935335
494,radial basis function,usesMethod,graphics processing unit,radial basis function usesMethod graphics processing unit,0.8399100912626168
495,graphics processing unit,usesMaterial,rule base,graphics processing unit usesMaterial rule base,0.751553666966748
496,sensor,usesMaterial,knowledge base,sensor usesMaterial knowledge base,0.8102765608625855
497,target detection,usesTask,pattern recognition,target detection usesTask pattern recognition,0.9427266382415022
498,tracking system,usesTask,intelligent control,tracking system usesTask intelligent control,0.8649377216463703
499,action recognition,usesMethod,deep neural convolutional network,action recognition usesMethod deep neural convolutional network,0.9340630384795787
500,action recognition,usesMaterial,training datasets,action recognition usesMaterial training datasets,0.8835102976189528
501,autonomous vehicle,usesMethod,map-reduce,autonomous vehicle usesMethod map-reduce,0.7349340659984296
502,segmentationing method,usesTask,face detection,segmentationing method usesTask face detection,0.8647259611248396
503,action recognition,usesTask,sentiment analysis,action recognition usesTask sentiment analysis,0.8338915834803392
504,face detection,usesMethod,machine learning technique s,face detection usesMethod machine learning technique s,0.9289544234014229
505,artificial intelligence,usesTask,robot,artificial intelligence usesTask robot,0.8930975053500237
506,action recognition,usesMethod,numerical model,action recognition usesMethod numerical model,0.818668009182567
507,deep learning,usesTask,source separation,deep learning usesTask source separation,0.7493541164924972
508,sentiment analysis,usesMaterial,social social medium,sentiment analysis usesMaterial social social medium,1.0
509,multiagent system,usesMaterial,healthcare data,multiagent system usesMaterial healthcare data,0.6173610427112532
510,autonomous vehicle,usesTask,image analysis,autonomous vehicle usesTask image analysis,0.8266246797190927
511,multiagent system,usesMethod,wsns,multiagent system usesMethod wsns,0.7243783202854576
512,action recognition,usesMaterial,imagenet,action recognition usesMaterial imagenet,0.8232790558754549
513,sensor,usesMaterial,robotic hand,sensor usesMaterial robotic hand,0.9999999999999999
514,bp neural network,usesTask,pattern recognition,bp neural network usesTask pattern recognition,1.0
515,action recognition,usesMethod,k-nearest neighbor,action recognition usesMethod k-nearest neighbor,0.7643524477217007
516,evolutionary algorithm,usesMaterial,broadband,evolutionary algorithm usesMaterial broadband,0.7931878085338152
517,wireless communication device,usesMethod,game theory,wireless communication device usesMethod game theory,0.9127475123416312
518,face detection,usesMaterial,e book document,face detection usesMaterial e book document,0.8267507406955497
519,game theory,usesMaterial,encrypted data,game theory usesMaterial encrypted data,0.7161755447238233
520,neural network,usesTask,statistical machine translation,neural network usesTask statistical machine translation,0.9494058200987694
521,neural network,usesMaterial,hyper-spectral image,neural network usesMaterial hyper-spectral image,1.0000000000000002
522,data compression,usesMaterial,mobile device,data compression usesMaterial mobile device,0.8497477351720919
523,data communication,usesMethod,wearable technology,data communication usesMethod wearable technology,0.9487341564795846
524,multiagent system,usesMaterial,capital,multiagent system usesMaterial capital,0.7181700331556538
525,acquisition device,usesMethod,detection monitoring device,acquisition device usesMethod detection monitoring device,0.9159686105541112
526,graphics processing unit,usesMaterial,domain knowledge,graphics processing unit usesMaterial domain knowledge,0.7600683260336445
527,navigation system,usesTask,autonomous vehicle,navigation system usesTask autonomous vehicle,1.0000000000000002
528,forecasts model,usesMethod,graphics processing unit,forecasts model usesMethod graphics processing unit,0.6979887746096268
529,autonomous vehicle,usesMethod,manipulator,autonomous vehicle usesMethod manipulator,0.832239003159209
530,deep learning,usesMaterial,human pose,deep learning usesMaterial human pose,0.7374772820458185
531,tracking system,usesMethod,liquid crystal display,tracking system usesMethod liquid crystal display,0.8712519616949891
532,wearable technology,usesTask,light reflection,wearable technology usesTask light reflection,0.7514341238530883
533,sensor,usesTask,activity recognition,sensor usesTask activity recognition,1.0
534,wearable technology,usesMaterial,color image,wearable technology usesMaterial color image,0.7945259470486904
535,pattern recognition,usesTask,pattern recognition related task,pattern recognition usesTask pattern recognition related task,0.8831415972920323
536,data compression,usesMaterial,sensitive information data,data compression usesMaterial sensitive information data,0.8082711087536872
537,multiagent system,usesMaterial,uncertainty environment,multiagent system usesMaterial uncertainty environment,0.9269761885294919
538,evolutionary algorithm,usesMaterial,training datasets,evolutionary algorithm usesMaterial training datasets,0.7569857407810746
539,evolutionary algorithm,usesMaterial,electricity,evolutionary algorithm usesMaterial electricity,0.8105296339883571
540,foreground detection,usesTask,autonomous vehicle,foreground detection usesTask autonomous vehicle,0.8659512666598649
541,machine learning based approach,usesMethod,deep learning,machine learning based approach usesMethod deep learning,0.9223727309829257
542,neural network,usesMaterial,expert knowledge,neural network usesMaterial expert knowledge,0.865379637152379
543,machine learning,usesMethod,numerical model,machine learning usesMethod numerical model,0.8605427408048729
544,tracking system,usesTask,pedestrian detection,tracking system usesTask pedestrian detection,0.8926432167122924
545,multiagent system,usesMaterial,location data,multiagent system usesMaterial location data,0.7759620935833104
546,action recognition,usesMaterial,social social medium,action recognition usesMaterial social social medium,0.7139243293259013
547,face detection,usesMaterial,low resolution image,face detection usesMaterial low resolution image,0.9999999999999998
548,deep learning,usesMethod,deep learning based approach,deep learning usesMethod deep learning based approach,0.932320555865664
549,evolutionary algorithm,usesMaterial,smart phone,evolutionary algorithm usesMaterial smart phone,0.7645921192081906
550,communications system,usesTask,data compression,communications system usesTask data compression,0.9084316548580202
551,multiagent system,usesTask,power management,multiagent system usesTask power management,0.8104318408378076
552,graphics processing unit,usesMaterial,reference image,graphics processing unit usesMaterial reference image,0.9353883514626798
553,evolutionary algorithm,usesTask,user association,evolutionary algorithm usesTask user association,0.7946890795639636
554,decision support system,usesTask,information extraction,decision support system usesTask information extraction,0.8808671712036537
555,autonomous vehicle,usesMaterial,browser web page,autonomous vehicle usesMaterial browser web page,0.6046267706042899
556,thresholding,usesMethod,evolutionary algorithm,thresholding usesMethod evolutionary algorithm,0.9102103609699539
557,tracking system,usesTask,motion analysis,tracking system usesTask motion analysis,0.8763390440385044
558,game theory,usesMethod,prefetching,game theory usesMethod prefetching,0.8262785144584047
559,data compression,usesMethod,cam,data compression usesMethod cam,0.8605320415482585
560,tracking system,usesMaterial,stereo camera,tracking system usesMaterial stereo camera,0.8826663320444719
561,decision support system,usesMethod,sensitivity analysis,decision support system usesMethod sensitivity analysis,0.903309513280423
562,deep learning,usesTask,bearing fault diagnosis,deep learning usesTask bearing fault diagnosis,0.9999999999999998
563,tracking system,usesMethod,dry battery,tracking system usesMethod dry battery,0.8460071529325991
564,decision support system,usesMaterial,raw data set a,decision support system usesMaterial raw data set a,0.8827480808951454
565,variable selection,usesTask,sentiment analysis,variable selection usesTask sentiment analysis,0.9771977718110728
566,autonomous vehicle,usesMaterial,document image,autonomous vehicle usesMaterial document image,0.7515287442241472
567,autonomous vehicle,usesMaterial,wireless medium,autonomous vehicle usesMaterial wireless medium,0.8619525827472372
568,neural network,usesTask,activation,neural network usesTask activation,1.0
569,action recognition,usesTask,medical image analysis,action recognition usesTask medical image analysis,0.8147480572405186
570,deep learning,usesMethod,classification algorithm,deep learning usesMethod classification algorithm,0.9247416165563996
571,multiplexing,usesMethod,wearable technology,multiplexing usesMethod wearable technology,0.7383375246558954
572,tracking system,usesMethod,fuzzy logic controller,tracking system usesMethod fuzzy logic controller,0.8666935605951158
573,acquisition device,usesMaterial,integrated data,acquisition device usesMaterial integrated data,0.879815082013554
574,acquisition device,usesTask,feature recognition,acquisition device usesTask feature recognition,0.8145156463083569
575,acquisition device,usesTask,sensor technology and application,acquisition device usesTask sensor technology and application,0.8476308290531274
576,artificial intelligence,usesTask,student learning,artificial intelligence usesTask student learning,0.8242133952084666
577,deep learning,usesMethod,extended kalman filter,deep learning usesMethod extended kalman filter,0.8378436045923002
578,decision support system,usesMaterial,integrated data,decision support system usesMaterial integrated data,0.8405879611664269
579,evolutionary algorithm,usesMaterial,clock signal,evolutionary algorithm usesMaterial clock signal,0.7692235543518814
580,sensor,usesTask,smart home,sensor usesTask smart home,0.9182708758809615
581,efficiency,usesMethod,multiagent system,efficiency usesMethod multiagent system,0.8349337750331035
582,computational efficiency,usesMethod,evolutionary algorithm,computational efficiency usesMethod evolutionary algorithm,0.916203577425925
583,unsupervised learning,usesMethod,decision support system,unsupervised learning usesMethod decision support system,0.7609496418581551
584,wearable technology,usesMaterial,keyboard,wearable technology usesMaterial keyboard,0.8480446536016502
585,acquisition device,usesMaterial,signal line,acquisition device usesMaterial signal line,0.7970300562933341
586,evolutionary algorithm,usesTask,shortterm load forecasting,evolutionary algorithm usesTask shortterm load forecasting,0.9371740032496976
587,evolutionary algorithm,usesMaterial,frequency domain,evolutionary algorithm usesMaterial frequency domain,0.8115078544508997
588,evolutionary algorithm,usesTask,calculating processing time,evolutionary algorithm usesTask calculating processing time,0.7894181591747668
589,game theory,usesTask,validation,game theory usesTask validation,0.8548411705497172
590,routing protocol,usesMethod,evolutionary algorithm,routing protocol usesMethod evolutionary algorithm,0.9164432036127806
591,pattern recognition,usesMethod,navigation system,pattern recognition usesMethod navigation system,0.7183873080244484
592,computational complexity,usesTask,image analysis,computational complexity usesTask image analysis,0.8905449161182637
593,decision support system,usesMethod,monte carlo analysis,decision support system usesMethod monte carlo analysis,0.8250000684974829
594,face detection,usesTask,detection speed up,face detection usesTask detection speed up,0.9085336279365621
595,deep learning,usesMaterial,unstructured data,deep learning usesMaterial unstructured data,0.7635502553932061
596,pattern recognition,usesMethod,steganography,pattern recognition usesMethod steganography,0.8128667833225875
597,wearable technology,usesTask,computer vision,wearable technology usesTask computer vision,0.8355606520428047
598,sentiment analysis,usesMaterial,twitter data set,sentiment analysis usesMaterial twitter data set,1.0
599,decision support system,usesTask,risk management,decision support system usesTask risk management,0.8985788961913636
